Case ID;Activity;Start Date;End Date;Agent Position;Customer ID;Product;Service Type;Resource
Case 1;Call Outbound;11.3.10 11:45;11.3.10 11:52;FL;Customer 1;MacBook Pro;Referred to Servicer;Henk
Case 9;Call Outbound;21.3.10 8:32;21.3.10 8:33;FL;Customer 9;MacBook Pro;Product Assistance;Samuil
Case 25;Call Outbound;12.3.10 11:45;12.3.10 11:49;FL;Customer 22;iPhone;Product Assistance;Henk
Case 28;Call Outbound;6.3.10 14:03;6.3.10 14:04;FL;Customer 24;iPhone;Product Assistance;Mary
Case 32;Call Outbound;11.3.10 15:16;11.3.10 15:17;FL;Customer 27;MacBook Pro;Product Assistance;Clark
Case 32;Call Outbound;20.3.10 14:26;20.3.10 14:27;FL;Customer 27;MacBook Pro;Product Assistance;Clark
Case 32;Call Outbound;25.3.10 15:19;25.3.10 15:22;FL;Customer 27;MacBook Pro;Product Assistance;Clark
Case 43;Call Outbound;26.3.10 16:21;26.3.10 16:30;FL;Customer 37;MacBook Pro;Product Assistance;Jochem
Case 43;Call Outbound;28.3.10 16:23;28.3.10 16:35;FL;Customer 37;MacBook Pro;Product Assistance;Jochem
Case 49;Call Outbound;19.3.10 7:34;19.3.10 7:37;FL;Customer 42;iPhone;Product Assistance;Samuil
Case 52;Call Outbound;28.3.10 11:22;28.3.10 11:24;FL;Customer 45;iPhone;Product Assistance;Michael
Case 66;Call Outbound;27.3.10 10:23;27.3.10 10:25;FL;Customer 58;iPhone;Product Assistance;Ton
Case 87;Call Outbound;26.3.10 13:56;26.3.10 13:57;FL;Customer 76;iPhone;Product Assistance;Anne
Case 118;Call Outbound;22.3.10 7:27;22.3.10 7:28;FL;Customer 103;iPhone;Product Assistance;Samuil
Case 119;Call Outbound;8.4.10 14:23;8.4.10 14:25;FL;Customer 104;MacBook Pro;Product Assistance;Karen
Case 119;Call Outbound;11.4.10 11:19;11.4.10 11:21;FL;Customer 104;MacBook Pro;Product Assistance;Karen
Case 132;Call Outbound;21.3.10 11:32;21.3.10 11:33;FL;Customer 115;iPhone;Referred to Servicer;Jochem
Case 140;Call Outbound;19.3.10 13:30;19.3.10 13:31;FL;Customer 123;MacBook Pro;Product Assistance;Nancy
Case 140;Call Outbound;19.3.10 13:48;19.3.10 13:49;FL;Customer 123;MacBook Pro;Product Assistance;Nancy
Case 143;Call Outbound;14.3.10 10:12;14.3.10 10:13;FL;Customer 126;iPhone;Product Assistance;Samuil
Case 143;Call Outbound;15.3.10 7:46;15.3.10 7:46;FL;Customer 126;iPhone;Product Assistance;Samuil
Case 143;Call Outbound;19.3.10 10:17;19.3.10 10:18;FL;Customer 126;iPhone;Product Assistance;Samuil
Case 148;Call Outbound;20.3.10 14:38;20.3.10 14:40;FL;Customer 130;MacBook Pro;Product Assistance;Michael
Case 159;Call Outbound;8.3.10 10:08;8.3.10 10:10;FL;Customer 140;MacBook Pro;Product Assistance;Samuil
Case 171;Call Outbound;19.3.10 13:20;19.3.10 13:24;FL;Customer 151;iPhone;Product Assistance;Richard
Case 186;Call Outbound;15.4.10 13:16;15.4.10 13:18;FL;Customer 163;iPhone;Product Assistance;Karen
Case 209;Call Outbound;25.3.10 15:15;25.3.10 15:18;FL;Customer 177;MacBook Pro;Referred to Servicer;Clark
Case 209;Call Outbound;26.3.10 15:29;26.3.10 15:34;FL;Customer 177;MacBook Pro;Referred to Servicer;Clark
Case 224;Call Outbound;12.3.10 15:29;12.3.10 15:30;BL;Customer 190;iPhone;Product Assistance;Steve
Case 226;Call Outbound;20.3.10 14:29;20.3.10 14:36;FL;Customer 192;iPhone;Product Assistance;Clark
Case 250;Call Outbound;23.4.10 10:03;23.4.10 10:10;FL;Customer 210;iPhone;Product Assistance;David
Case 250;Call Outbound;23.4.10 16:23;23.4.10 16:26;FL;Customer 210;iPhone;Product Assistance;Karen
Case 264;Call Outbound;19.3.10 10:43;19.3.10 10:43;FL;Customer 221;iPhone;Referred to Servicer;Jochem
Case 264;Call Outbound;19.3.10 10:45;19.3.10 10:46;FL;Customer 221;iPhone;Referred to Servicer;Jochem
Case 266;Call Outbound;25.3.10 9:23;25.3.10 9:45;FL;Customer 223;iPhone;Product Assistance;Samuil
Case 266;Call Outbound;29.3.10 9:50;29.3.10 10:03;FL;Customer 223;iPhone;Product Assistance;Samuil
Case 266;Call Outbound;12.4.10 15:05;12.4.10 15:12;FL;Customer 223;iPhone;Product Assistance;David
Case 266;Call Outbound;24.4.10 12:22;24.4.10 12:25;FL;Customer 223;iPhone;Product Assistance;David
Case 266;Call Outbound;24.4.10 15:35;24.4.10 15:38;FL;Customer 223;iPhone;Product Assistance;Jochem
Case 266;Call Outbound;25.4.10 13:19;25.4.10 13:21;FL;Customer 223;iPhone;Product Assistance;Jochem
Case 266;Call Outbound;30.4.10 14:24;30.4.10 14:36;FL;Customer 223;iPhone;Product Assistance;Jochem
Case 275;Call Outbound;26.3.10 8:46;26.3.10 8:51;FL;Customer 232;iPhone;Product Assistance;Samuil
Case 275;Call Outbound;26.3.10 9:05;26.3.10 9:05;FL;Customer 232;iPhone;Product Assistance;Samuil
Case 296;Call Outbound;7.3.10 11:44;7.3.10 11:46;FL;Customer 250;MacBook Pro;Product Assistance;Henk
Case 296;Call Outbound;14.3.10 11:42;14.3.10 11:43;FL;Customer 250;MacBook Pro;Product Assistance;Henk
Case 296;Call Outbound;19.3.10 11:30;19.3.10 11:38;FL;Customer 250;MacBook Pro;Product Assistance;Henk
Case 296;Call Outbound;27.3.10 11:48;27.3.10 11:51;FL;Customer 250;MacBook Pro;Product Assistance;Henk
Case 302;Call Outbound;5.3.10 11:31;5.3.10 11:31;FL;Customer 256;MacBook Pro;Product Assistance;Samuil
