Año,Entidad,Distrito,Puesto,PAN,PRI,PRD,VERDE,PT,MOV. CIU.,NUEVA ALIANZA,MORENA,HUMANISTA,ENC. SOC,INDEP.,ALTERNATIVA,No registrados,Votos nulos
2006,Nuevo Leon,SANTA CATARINA,Presidente,92728,34398,19489,0,0,0,5302,0,0,0,0,3942,1028,3234
2006,Nuevo Leon,APODACA,Presidente,51033,39600,18756,0,0,0,2021,0,0,0,0,3944,1154,2544
2006,Nuevo Leon,GRAL. ESCOBEDO,Presidente,80365,39334,24666,0,0,0,2296,0,0,0,0,4676,1281,2436
2006,Nuevo Leon,SAN NICOLAS DE LOS GARZA,Presidente,98122,31235,23372,0,0,0,2618,0,0,0,0,5024,1177,2618
2006,Nuevo Leon,MONTERREY 1,Presidente,32710,43929,19401,0,0,0,1556,0,0,0,0,2888,1048,3320
2006,Nuevo Leon,MONTERREY 2,Presidente,83103,32044,19901,0,0,0,1680,0,0,0,0,4079,723,2413
2006,Nuevo Leon,MONTERREY 3,Presidente,68460,35694,21943,0,0,0,2171,0,0,0,0,4147,789,3340
2006,Nuevo Leon,GUADALUPE 1,Presidente,76874,36504,24711,0,0,0,2244,0,0,0,0,5073,962,2864
2006,Nuevo Leon,LINARES,Presidente,51728,47893,22608,0,0,0,2987,0,0,0,0,5715,370,5236
2006,Nuevo Leon,MONTERREY 4,Presidente,79910,33279,19514,0,0,0,1488,0,0,0,0,3671,694,2492
2006,Nuevo Leon,GUADALUPE 2,Presidente,66633,39223,24257,0,0,0,2501,0,0,0,0,4632,967,3320
2006,Nuevo Leon,CADEREYTA JIMENEZ,Presidente,57131,50803,33587,0,0,0,3291,0,0,0,0,2538,775,3514
2006,Sonora,SAN LUIS RIO COLORADO,Presidente,56020,23783,26235,0,0,0,981,0,0,0,0,3086,264,2192
2006,Sonora,NOGALES,Presidente,60676,25724,25871,0,0,0,774,0,0,0,0,2491,438,2310
2006,Sonora,HERMOSILLO 1,Presidente,76015,18090,20291,0,0,0,1088,0,0,0,0,3549,505,1693
2006,Sonora,GUAYMAS,Presidente,48006,25957,39271,0,0,0,937,0,0,0,0,2923,487,2601
2006,Sonora,HERMOSILLO 2,Presidente,76193,19872,20794,0,0,0,991,0,0,0,0,3301,491,1816
2006,Sonora,CAJEME,Presidente,61372,17609,42458,0,0,0,985,0,0,0,0,4526,608,2162
2006,Sonora,NAVOJOA,Presidente,44576,23252,39063,0,0,0,876,0,0,0,0,1806,220,2492
2006,Chihuahua,JUAREZ 1,Presidente,36777,33683,22570,0,0,0,1884,0,0,0,0,3493,457,2578
2006,Chihuahua,JUAREZ 2,Presidente,31134,30828,16467,0,0,0,1404,0,0,0,0,2249,276,2345
2006,Chihuahua,JUAREZ 3,Presidente,67067,26463,23390,0,0,0,1663,0,0,0,0,4529,305,1844
2006,Chihuahua,JUAREZ 4,Presidente,32291,27487,17405,0,0,0,1567,0,0,0,0,2895,348,1917
2006,Chihuahua,DELICIAS,Presidente,67070,36925,23585,0,0,0,2460,0,0,0,0,3126,675,2759
2006,Chihuahua,CHIHUAHUA 1,Presidente,98991,38552,21303,0,0,0,2284,0,0,0,0,4297,1397,2515
2006,Chihuahua,CUAUHTEMOC,Presidente,40754,36731,34405,0,0,0,2361,0,0,0,0,2857,401,3432
2006,Chihuahua,CHIHUAHUA 2,Presidente,67999,37332,19576,0,0,0,2387,0,0,0,0,4079,1821,2705
2006,Chihuahua,HIDALGO DEL PARRAL,Presidente,30175,19209,8077,0,0,0,1181,0,0,0,0,1383,310,1403
2006,Nuevo Leon,SANTA CATARINA,Senador,78961,55771,7924,0,0,0,10824,0,0,0,0,1308,158,3122
2006,Nuevo Leon,APODACA,Senador,41936,57905,8190,0,0,0,5549,0,0,0,0,1281,140,2363
2006,Nuevo Leon,GRAL. ESCOBEDO,Senador,71107,58213,11578,0,0,0,6454,0,0,0,0,1598,197,2406
2006,Nuevo Leon,SAN NICOLAS DE LOS GARZA,Senador,91581,46781,11190,0,0,0,6587,0,0,0,0,1600,281,2621
2006,Nuevo Leon,MONTERREY 1,Senador,27049,55517,10129,0,0,0,3632,0,0,0,0,842,219,3206
2006,Nuevo Leon,MONTERREY 2,Senador,71423,52300,8960,0,0,0,4909,0,0,0,0,1276,127,2542
2006,Nuevo Leon,MONTERREY 3,Senador,59721,52373,10228,0,0,0,5491,0,0,0,0,1421,157,3242
2006,Nuevo Leon,GUADALUPE 1,Senador,66183,59430,12809,0,0,0,6207,0,0,0,0,1717,162,2849
2006,Nuevo Leon,LINARES,Senador,44517,59036,12637,0,0,0,5748,0,0,0,0,5388,84,5931
2006,Nuevo Leon,MONTERREY 4,Senador,69155,51456,9470,0,0,0,4044,0,0,0,0,1390,134,2517
2006,Nuevo Leon,GUADALUPE 2,Senador,56399,58552,11545,0,0,0,6655,0,0,0,0,1487,144,3176
2006,Nuevo Leon,CADEREYTA JIMENEZ,Senador,50342,61538,17590,0,0,0,7124,0,0,0,0,994,163,3468
2006,Sonora,SAN LUIS RIO COLORADO,Senador,54026,32934,18646,0,0,0,2039,0,0,0,0,1298,92,2098
2006,Sonora,NOGALES,Senador,60426,35604,14884,0,0,0,2391,0,0,0,0,1131,130,2427
2006,Sonora,HERMOSILLO 1,Senador,59399,44355,11756,0,0,0,2153,0,0,0,0,997,68,1913
2006,Sonora,GUAYMAS,Senador,41472,42283,28304,0,0,0,1611,0,0,0,0,1451,111,2898
2006,Sonora,HERMOSILLO 2,Senador,56179,47839,12399,0,0,0,1831,0,0,0,0,944,133,1990
