A¤o;Entidad;Distrito;Puesto;PAN;PRI;PRD;VERDE;PT;MOV. CIU.;NUEVA ALIANZA;MORENA;HUMANISTA;ENC. SOC;INDEP.;ALTERNATIVA;No registrados;Votos nulos;;;Total Votos
2006;Nuevo Leon;SANTA CATARINA;Presidente;92728;34398;19489;-;-;-;5302;-;-;-;-;3942;1028;3234;;;160121
2006;Nuevo Leon;APODACA;Presidente;51033;39600;18756;-;-;-;2021;-;-;-;-;3944;1154;2544;;;119052
2006;Nuevo Leon;GRAL. ESCOBEDO;Presidente;80365;39334;24666;-;-;-;2296;-;-;-;-;4676;1281;2436;;;155054
2006;Nuevo Leon;SAN NICOLAS DE LOS GARZA;Presidente;98122;31235;23372;-;-;-;2618;-;-;-;-;5024;1177;2618;;;164166
2006;Nuevo Leon;MONTERREY 1;Presidente;32710;43929;19401;-;-;-;1556;-;-;-;-;2888;1048;3320;;;104852
2006;Nuevo Leon;MONTERREY 2;Presidente;83103;32044;19901;-;-;-;1680;-;-;-;-;4079;723;2413;;;143943
2006;Nuevo Leon;MONTERREY 3;Presidente;68460;35694;21943;-;-;-;2171;-;-;-;-;4147;789;3340;;;136544
2006;Nuevo Leon;GUADALUPE 1;Presidente;76874;36504;24711;-;-;-;2244;-;-;-;-;5073;962;2864;;;149232
2006;Nuevo Leon;LINARES;Presidente;51728;47893;22608;-;-;-;2987;-;-;-;-;5715;370;5236;;;136537
2006;Nuevo Leon;MONTERREY 4;Presidente;79910;33279;19514;-;-;-;1488;-;-;-;-;3671;694;2492;;;141048
2006;Nuevo Leon;GUADALUPE 2;Presidente;66633;39223;24257;-;-;-;2501;-;-;-;-;4632;967;3320;;;141533
2006;Nuevo Leon;CADEREYTA JIMENEZ;Presidente;57131;50803;33587;-;-;-;3291;-;-;-;-;2538;775;3514;;;151639
2006;Sonora;SAN LUIS RIO COLORADO;Presidente;56020;23783;26235;-;-;-;981;-;-;-;-;3086;264;2192;;;112561
2006;Sonora;NOGALES;Presidente;60676;25724;25871;-;-;-;774;-;-;-;-;2491;438;2310;;;118284
2006;Sonora;HERMOSILLO 1;Presidente;76015;18090;20291;-;-;-;1088;-;-;-;-;3549;505;1693;;;121231
2006;Sonora;GUAYMAS;Presidente;48006;25957;39271;-;-;-;937;-;-;-;-;2923;487;2601;;;120182
2006;Sonora;HERMOSILLO 2;Presidente;76193;19872;20794;-;-;-;991;-;-;-;-;3301;491;1816;;;123458
2006;Sonora;CAJEME;Presidente;61372;17609;42458;-;-;-;985;-;-;-;-;4526;608;2162;;;129720
2006;Sonora;NAVOJOA;Presidente;44576;23252;39063;-;-;-;876;-;-;-;-;1806;220;2492;;;112285
2006;Chihuahua;JUAREZ 1;Presidente;36777;33683;22570;-;-;-;1884;-;-;-;-;3493;457;2578;;;101442
2006;Chihuahua;JUAREZ 2;Presidente;31134;30828;16467;-;-;-;1404;-;-;-;-;2249;276;2345;;;84703
2006;Chihuahua;JUAREZ 3;Presidente;67067;26463;23390;-;-;-;1663;-;-;-;-;4529;305;1844;;;125261
2006;Chihuahua;JUAREZ 4;Presidente;32291;27487;17405;-;-;-;1567;-;-;-;-;2895;348;1917;;;83910
2006;Chihuahua;DELICIAS;Presidente;67070;36925;23585;-;-;-;2460;-;-;-;-;3126;675;2759;;;136600
2006;Chihuahua;CHIHUAHUA 1;Presidente;98991;38552;21303;-;-;-;2284;-;-;-;-;4297;1397;2515;;;169339
2006;Chihuahua;CUAUHTEMOC;Presidente;40754;36731;34405;-;-;-;2361;-;-;-;-;2857;401;3432;;;120941
2006;Chihuahua;CHIHUAHUA 2;Presidente;67999;37332;19576;-;-;-;2387;-;-;-;-;4079;1821;2705;;;135899
2006;Chihuahua;HIDALGO DEL PARRAL;Presidente;30175;19209;8077;-;-;-;1181;-;-;-;-;1383;310;1403;;;61738
2006;Nuevo Leon;SANTA CATARINA;Senador;78961;55771;7924;-;-;-;10824;-;-;-;-;1308;158;3122;;;158068
2006;Nuevo Leon;APODACA;Senador;41936;57905;8190;-;-;-;5549;-;-;-;-;1281;140;2363;;;117364
2006;Nuevo Leon;GRAL. ESCOBEDO;Senador;71107;58213;11578;-;-;-;6454;-;-;-;-;1598;197;2406;;;151553
2006;Nuevo Leon;SAN NICOLAS DE LOS GARZA;Senador;91581;46781;11190;-;-;-;6587;-;-;-;-;1600;281;2621;;;160641
2006;Nuevo Leon;MONTERREY 1;Senador;27049;55517;10129;-;-;-;3632;-;-;-;-;842;219;3206;;;100594
2006;Nuevo Leon;MONTERREY 2;Senador;71423;52300;8960;-;-;-;4909;-;-;-;-;1276;127;2542;;;141537
2006;Nuevo Leon;MONTERREY 3;Senador;59721;52373;10228;-;-;-;5491;-;-;-;-;1421;157;3242;;;132633
2006;Nuevo Leon;GUADALUPE 1;Senador;66183;59430;12809;-;-;-;6207;-;-;-;-;1717;162;2849;;;149357
2006;Nuevo Leon;LINARES;Senador;44517;59036;12637;-;-;-;5748;-;-;-;-;5388;84;5931;;;133341
2006;Nuevo Leon;MONTERREY 4;Senador;69155;51456;9470;-;-;-;4044;-;-;-;-;1390;134;2517;;;138166
2006;Nuevo Leon;GUADALUPE 2;Senador;56399;58552;11545;-;-;-;6655;-;-;-;-;1487;144;3176;;;137958
2006;Nuevo Leon;CADEREYTA JIMENEZ;Senador;50342;61538;17590;-;-;-;7124;-;-;-;-;994;163;3468;;;141219
2006;Sonora;SAN LUIS RIO COLORADO;Senador;54026;32934;18646;-;-;-;2039;-;-;-;-;1298;92;2098;;;111133
2006;Sonora;NOGALES;Senador;60426;35604;14884;-;-;-;2391;-;-;-;-;1131;130;2427;;;116993
2006;Sonora;HERMOSILLO 1;Senador;59399;44355;11756;-;-;-;2153;-;-;-;-;997;68;1913;;;120641
2006;Sonora;GUAYMAS;Senador;41472;42283;28304;-;-;-;1611;-;-;-;-;1451;111;2898;;;118130
2006;Sonora;HERMOSILLO 2;Senador;56179;47839;12399;-;-;-;1831;-;-;-;-;944;133;1990;;;121315
2006;Sonora;CAJEME;Senador;57109;42945;25670;-;-;-;1623;-;-;-;-;1195;130;2503;;;131175
2006;Sonora;NAVOJOA;Senador;40404;39451;27057;-;-;-;1675;-;-;-;-;748;79;2700;;;112114
2006;Chihuahua;JUAREZ 1;Senador;33011;40180;16337;-;-;-;6173;-;-;-;-;2192;225;2878;;;100996
2006;Chihuahua;JUAREZ 2;Senador;28388;34353;11992;-;-;-;3977;-;-;-;-;1480;153;2376;;;82719
2006;Chihuahua;JUAREZ 3;Senador;58840;37804;16561;-;-;-;7002;-;-;-;-;3035;154;2178;;;125574
2006;Chihuahua;JUAREZ 4;Senador;29688;32635;12793;-;-;-;4679;-;-;-;-;1807;174;1972;;;83748
2006;Chihuahua;DELICIAS;Senador;56803;54311;14596;-;-;-;5901;-;-;-;-;1506;208;3326;;;136651
2006;Chihuahua;CHIHUAHUA 1;Senador;83080;55240;15554;-;-;-;8379;-;-;-;-;1828;363;3083;;;167527
2006;Chihuahua;CUAUHTEMOC;Senador;35150;46965;25833;-;-;-;5726;-;-;-;-;1478;243;3804;;;119199
2006;Chihuahua;CHIHUAHUA 2;Senador;59408;50766;14450;-;-;-;8049;-;-;-;-;1866;574;3016;;;138129
2006;Chihuahua;HIDALGO DEL PARRAL;Senador;26281;22925;5492;-;-;-;3047;-;-;-;-;640;126;1599;;;60110
2006;Nuevo Leon;SANTA CATARINA;Diputado;80383;46392;9301;-;-;-;17713;-;-;-;-;1725;199;3357;;;159070
2006;Nuevo Leon;APODACA;Diputado;40536;52362;9522;-;-;-;10038;-;-;-;-;1482;207;2457;;;116604
2006;Nuevo Leon;GRAL. ESCOBEDO;Diputado;72818;51875;13230;-;-;-;10740;-;-;-;-;1975;211;3041;;;153890
2006;Nuevo Leon;SAN NICOLAS DE LOS GARZA;Diputado;91261;38902;12659;-;-;-;12313;-;-;-;-;1913;384;2792;;;160224
2006;Nuevo Leon;MONTERREY 1;Diputado;27297;47090;13364;-;-;-;7139;-;-;-;-;1118;308;3318;;;99634
2006;Nuevo Leon;MONTERREY 2;Diputado;64651;54220;10818;-;-;-;7863;-;-;-;-;1634;153;2898;;;142237
2006;Nuevo Leon;MONTERREY 3;Diputado;58323;45322;12152;-;-;-;11648;-;-;-;-;1737;221;3563;;;132966
2006;Nuevo Leon;GUADALUPE 1;Diputado;66644;51755;15176;-;-;-;10906;-;-;-;-;2069;191;3109;;;149850
2006;Nuevo Leon;LINARES;Diputado;44371;54607;14150;-;-;-;9001;-;-;-;-;6331;128;6027;;;134615
2006;Nuevo Leon;MONTERREY 4;Diputado;66130;45587;13977;-;-;-;8720;-;-;-;-;1961;168;2736;;;139279
2006;Nuevo Leon;GUADALUPE 2;Diputado;53919;57200;12614;-;-;-;9961;-;-;-;-;1984;169;3351;;;139198
2006;Nuevo Leon;CADEREYTA JIMENEZ;Diputado;50636;59686;19942;-;-;-;10030;-;-;-;-;1247;138;4076;;;145755
2006;Sonora;SAN LUIS RIO COLORADO;Diputado;53665;34935;17979;-;-;-;1874;-;-;-;-;1292;92;2008;;;111845
2006;Sonora;NOGALES;Diputado;59383;35494;13277;-;-;-;6272;-;-;-;-;926;113;2593;;;118058
2006;Sonora;HERMOSILLO 1;Diputado;69941;34037;11881;-;-;-;3283;-;-;-;-;1376;108;2083;;;122709
2006;Sonora;GUAYMAS;Diputado;37647;45128;26172;-;-;-;1407;-;-;-;-;1077;99;2861;;;114391
2006;Sonora;HERMOSILLO 2;Diputado;58070;43241;10060;-;-;-;7018;-;-;-;-;994;123;2002;;;121508
2006;Sonora;CAJEME;Diputado;66404;34306;19286;-;-;-;1183;-;-;-;-;927;99;2265;;;124470
2006;Sonora;NAVOJOA;Diputado;34751;42986;26840;-;-;-;1094;-;-;-;-;614;65;2649;;;108999
2006;Chihuahua;JUAREZ 1;Diputado;33929;38289;17026;-;-;-;6927;-;-;-;-;2709;252;2490;;;101622
2006;Chihuahua;JUAREZ 2;Diputado;27606;35602;11530;-;-;-;3387;-;-;-;-;1508;178;2437;;;82248
2006;Chihuahua;JUAREZ 3;Diputado;63309;32163;16245;-;-;-;6676;-;-;-;-;2920;186;2172;;;123671
2006;Chihuahua;JUAREZ 4;Diputado;30592;31419;12524;-;-;-;4615;-;-;-;-;1874;211;1986;;;83221
2006;Chihuahua;DELICIAS;Diputado;56436;53868;13876;-;-;-;6039;-;-;-;-;1393;191;2931;;;134734
2006;Chihuahua;CHIHUAHUA 1;Diputado;77931;58256;19806;-;-;-;6760;-;-;-;-;1549;356;2999;;;167657
2006;Chihuahua;CUAUHTEMOC;Diputado;32553;48886;24899;-;-;-;4650;-;-;-;-;1098;131;3599;;;115816
2006;Chihuahua;CHIHUAHUA 2;Diputado;58461;50643;12424;-;-;-;8406;-;-;-;-;1904;582;3050;;;135470
2006;Chihuahua;HIDALGO DEL PARRAL;Diputado;25057;24782;5493;-;-;-;2851;-;-;-;-;621;98;1546;;;60448
2012;Nuevo Leon;SANTA CATARINA;Presidente;84170;45515;34179;-;-;-;4637;-;-;-;-;-;101;2770;;;171372
